Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Memory_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Memory_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Memory_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Memory_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Memory_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Memory_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Memory_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Memory_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Memory_Stress_Loss,Train_TotalLoss,Valid_TotalLoss,Memory_TotalLoss
601,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
601,0.000000,4.229147,4.229147,4.365723,0.480112,0.480112,0.168039,90.773376,90.773377,74.192547,4.084515,4.084515,4.232288,0.115560,0.115560,0.064161,21.057268,21.057268,19.367858,0.040671,0.041295,0.042273,0.001048,0.001031,0.000600,0.208872,0.210176,0.193647,0.043808,0.044428,0.044809
602,0.000020,4.210979,4.188158,4.443983,0.479909,0.479671,0.157577,90.398789,89.940898,74.736461,4.066203,4.043449,4.364384,0.115386,0.115137,0.062635,20.945268,20.811319,19.892371,0.040558,0.040883,0.043594,0.001112,0.001027,0.000583,0.208537,0.207701,0.198890,0.043756,0.043987,0.046166
603,0.000040,4.155616,4.113824,4.298103,0.479298,0.478858,0.153983,89.296954,88.371628,71.725912,4.010713,3.968855,4.195350,0.114779,0.114354,0.061316,20.615071,20.342564,18.991586,0.040191,0.040133,0.041903,0.001110,0.001020,0.000559,0.204416,0.202981,0.189883,0.043345,0.043182,0.044362
604,0.000060,4.064539,4.005191,4.107307,0.478327,0.477756,0.150486,87.361546,86.091242,70.167961,3.920335,3.859746,3.997220,0.113904,0.113274,0.058014,20.036519,19.654421,18.787652,0.039592,0.039037,0.039922,0.001060,0.001010,0.000542,0.203418,0.196071,0.187844,0.042687,0.042007,0.042343
605,0.000080,3.940361,3.859374,4.194908,0.477167,0.476354,0.160537,84.743688,83.067668,66.936344,3.795908,3.714086,4.100953,0.112695,0.111923,0.063363,19.245881,18.730298,18.080560,0.038063,0.037572,0.040960,0.001055,0.000997,0.000592,0.195177,0.186805,0.180772,0.041070,0.040437,0.043359
606,0.000100,3.782083,3.681128,3.913590,0.475739,0.474938,0.137766,81.568870,79.494216,57.958364,3.636644,3.534800,3.822453,0.111295,0.110567,0.052794,18.247739,17.605098,15.536456,0.036274,0.035767,0.038175,0.001064,0.000983,0.000479,0.180004,0.175509,0.155332,0.039138,0.038505,0.040207
607,0.000120,3.586899,3.462894,3.677850,0.474288,0.473449,0.139200,78.018187,75.316121,51.903564,3.439035,3.314564,3.574712,0.109780,0.109050,0.051035,17.056442,16.228590,13.896458,0.034385,0.033551,0.035697,0.001063,0.000968,0.000461,0.166890,0.161690,0.138932,0.037117,0.036136,0.037548
608,0.000140,3.349057,3.193822,3.405702,0.472955,0.471843,0.121915,73.535247,70.656299,42.451590,3.199008,3.042911,3.293385,0.108463,0.107430,0.047933,15.546411,14.590018,11.098152,0.031927,0.030814,0.032884,0.001003,0.000952,0.000446,0.153946,0.145177,0.110949,0.034469,0.033217,0.034440
609,0.000160,3.058040,2.859874,3.163367,0.470813,0.470245,0.136002,68.365352,65.482138,148.459632,2.897796,2.704453,3.076728,0.106492,0.105717,0.051094,13.812299,12.585994,12.925015,0.028781,0.027400,0.030717,0.000989,0.000934,0.000471,0.135866,0.124902,0.129216,0.031129,0.029583,0.032481
610,0.000180,2.693816,2.438429,2.801679,0.469606,0.468785,0.406692,63.631369,60.277549,27.479981,2.521726,2.272473,2.713554,0.104939,0.104228,0.073162,11.619342,10.266204,6.992964,0.024830,0.023037,0.027086,0.000984,0.000917,0.000699,0.113465,0.101616,0.069895,0.026949,0.024971,0.028484
